"code","quality","template","shape_6_to_1","theory","omitted","errors","ergonomic_review","representative_status"
"C5","major","a-power","x-3-5-5-x-x","C G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C11","major","full-e11","8-8-8-9-8-10","C E G Bb D F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C13","major","a13","x-3-2-3-3-5","C E G Bb D F A","G F","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cadd2","major","c-add2","x-3-0-0-1-0","C D E G","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cadd11","major","c-add11","x-3-3-0-1-0","C E G F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cmaj11","major","full-emaj11","8-8-9-9-8-10","C E G B D F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cmaj13","major","full-emaj13","8-10-9-9-10-10","C E G B D F A","F","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C7b5","major","a-seven-flat-five","x-3-4-3-5-x","C E Gb Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C7#5","major","a-seven-sharp-five","x-3-6-3-5-x","C E G# Bb","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C7b9","major","a-seven-flat-nine","x-3-2-3-2-3","C E G Bb Db","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C7#9","major","a-seven-sharp-nine","x-3-2-3-4-3","C E G Bb D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C6/9","major","a-six-nine","x-3-2-2-3-3","C E G A D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cm11","minor","full-em11","8-8-8-8-8-10","C Eb G Bb D F","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cm13","minor","am13","x-3-1-3-3-5","C Eb G Bb D F A","G F","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cm7b5","minor","a-half-diminished","x-3-4-3-4-x","C Eb Gb Bb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"Cdim7","dim","a-diminished-seven","x-3-4-2-4-x","C Eb Gb Bbb","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#5","major","a-power","x-4-6-6-x-x","C# G#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#11","major","full-e11","9-9-9-10-9-11","C# E# G# B D# F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#13","major","a13","x-4-3-4-4-6","C# E# G# B D# F# A#","G# F#","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#add2","major","c-add2","x-4-1-1-2-1","C# D# E# G#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#add11","major","c-add11","x-4-4-1-2-1","C# E# G# F#","","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#maj11","major","full-emaj11","9-9-10-10-9-11","C# E# G# B# D# F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#maj13","major","full-emaj13","9-11-10-10-11-11","C# E# G# B# D# F# A#","F#","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#7b5","major","a-seven-flat-five","x-4-5-4-6-x","C# E# G B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#7#5","major","a-seven-sharp-five","x-4-7-4-6-x","C# E# G## B","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#7b9","major","a-seven-flat-nine","x-4-3-4-3-4","C# E# G# B D","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#7#9","major","a-seven-sharp-nine","x-4-3-4-5-4","C# E# G# B D##","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#6/9","major","a-six-nine","x-4-3-3-4-4","C# E# G# A# D#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#m11","minor","full-em11","9-9-9-9-9-11","C# E G# B D# F#","","","","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
"C#m13","minor","am13","x-4-2-4-4-6","C# E G# B D# F# A#","G# F#","","low-position-span-at-least-three-review","UNVERIFIED_NO_EXACT_VOICING_SOURCE_OR_REVIEW_RECORD"
